"code","name","gdpUsd"
"USA","United States","30769700000000"
"CHN","China","19498039388042.6"
"DEU","Germany","5050922925047.05"
"JPN","Japan","4435162999976.94"
"GBR","United Kingdom","4002587541846.01"
"IND","India","3956067115771.63"
"FRA","France","3366315927447.33"
"RUS","Russian Federation","2561310169358.74"
"ITA","Italy","2551556954100.35"
"CAN","Canada","2319899772425.92"
"BRA","Brazil","2279920092492.13"
"ESP","Spain","1906453309985.88"
"KOR","Korea, Rep.","1872374961553.15"
"MEX","Mexico","1832641364775.52"
"AUS","Australia","1798518933689.21"
"TUR","Turkiye","1597293229287"
"IDN","Indonesia","1445642584163.81"
"NLD","Netherlands","1332767651100.39"
"SAU","Saudi Arabia","1276942933333.33"
"CHE","Switzerland","1043529899250.92"
"POL","Poland","1035491784197.44"
"BEL","Belgium","725466462859.646"
"IRL","Ireland","721701359046.313"
"ARG","Argentina","683097891618.597"
"SWE","Sweden","668998664082.081"
"ISR","Israel","610777842873.595"
"SGP","Singapore","603869516998.738"
"AUT","Austria","579470021095.418"
"THA","Thailand","577009981112.015"
"NOR","Norway","530755719438.879"
